Company Name,ISIN,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Net-Zero Committed
Dutch-Bangla Pack Ltd.,,Committed,,,No
EARP Distribution,,Targets Set,2°C,2030,No
EASTMAN EXPORTS GLOBAL CLOTHING PVT LTD,,Committed,,,No
Eaton,IE00B8KQN827,Targets Set,1.5°C,2030,Yes
Ecolab,US2788651006,Targets Set,1.5°C,"2030, 2024",Yes
Ecovadis,,Committed,,,No
EDF Group,FR0010242511,Targets Set,Well-below 2°C,2030,Yes
Edge Chile,,Targets Set,1.5°C,2030,No
Edge Environment Pty Ltd,,Targets Set,1.5°C,"2022, 2027",Yes
EDP - Energias de Portugal S.A.,PTEDP0AM0009,Targets Set,1.5°C,2030,Yes
EDP Energias do Brasil S.A.,BRENBRACNOR2,Targets Set,1.5°C,2032,No
"Efacec Power Solutions, SGPS, S.A.",,Committed,,,Yes
EFL,,Committed,,,No
EILEEN FISHER,,Targets Set,1.5°C,2025,No
"Eisai Co., Ltd.",JP3160400002,Targets Set,2°C,2030,No
Electricity Supply Board (ESB),,Committed,,,No
Electrolux,SE0000103814,Targets Set,1.5°C,2025,Yes
"Elevate Textiles, Inc.",,Targets Set,1.5°C,2030,Yes
Elia Group,,Committed,,,No
Elisa Corporation,FI0009007884,Targets Set,1.5°C,2025,Yes
Ella's Kitchen (Brands) Limited,,Targets Set,1.5°C,,No
Elopak AS,,Targets Set,1.5°C,2030,No
Emira Property Fund Ltd,ZAE000050712,Targets Set,2°C,2022,No
Eneco,,Targets Set,2°C,2025,No
Enel SpA,IT0003128367,Targets Set,1.5°C,2030,Yes
Energetics Pty Ltd,,Targets Set,1.5°C,2030,No
ENGIE,,Targets Set,2°C,2030,Yes
"EPAL - Empresa Portugesa das Aguas Livres, S.A.",,Committed,,,No
EQUIPOS MÓVILES DE CAMPAÑA ARPA,,Targets Set,1.5°C,2030,No
ERG spa,IT0001157020,Targets Set,Well-below 2°C,2025,No
Ericsson Group,SE0000108656,Targets Set,1.5°C,2022,No
ERM,,Targets Set,1.5°C,2025,No
ESPEC Corp.,,Committed,,,No
Essity AB,SE0009922164,Targets Set,2°C,2030,Yes
Eurazeo,,Targets Set,1.5°C,,No
Europcar Mobility Group,FR0012789949,Committed,,,No
everis Portugal,,Committed,,,Yes
Fabege AB,SE0011166974,Targets Set,1.5°C,2030,No
"Facebook, Inc.",,Committed,,,Yes
"FamilyMart Co.,Ltd.",,Targets Set,Well-below 2°C,2030,No
"Far EasTone Telecommunications Co., Ltd.",TW0004904008,Targets Set,2°C,2030,No
Farm Frites,,Committed,,,No
Farmer Bros. Co,US3076751086,Targets Set,1.5°C,2025,No
"FAST RETAILING CO., LTD.",JP3802300008,Targets Set,1.5°C,2030,No
Fastweb S.p.A.,IT0001423562,Targets Set,1.5°C,2030,No
Faurecia S.A.,,Targets Set,1.5°C,"2025, 2030",Yes
Ferrocarrils de la Generalitat de Catalunya,,Targets Set,1.5°C,2030,Yes
Ferrovial,ES0118900010,Targets Set,2°C,2030,No
Fidocar,,Targets Set,1.5°C,2030,Yes
FIRMENICH SA,,Targets Set,1.5°C,2030,Yes
Fisher & Paykel Healthcare Corporation Limited,,Targets Set,1.5°C,"2034, 2024",No
Fiskars Corporation,FI0009000400,Targets Set,1.5°C,"2030, 2024",Yes
Fletcher Building Limited,NZFBUE0001S0,Targets Set,Well-below 2°C,"2030, 2024",No
Ford Motor Company,,Targets Set,1.5°C,2035,Yes
Forest Carbon Ltd.,,Committed,,,No
Fortune Parts Industry Public Company Limited,TH3786010Z01,Targets Set,1.5°C,2024,No
Framery Trade Oy,,Targets Set,1.5°C,2030,No
Franz Kaldewei GmbH & Co. KG,,Targets Set,Well-below 2°C,2030,No
FRASERS PROPERTY AUSTRALIA,,Targets Set,Well-below 2°C,2028,No
Freddie's Flowers,,Targets Set,1.5°C,2030,No
"Fruit of the Loom, Inc.",,Targets Set,1.5°C,2030,No
Fubon Financial Holdings,TW0002881000,Committed,,,No
FUJI OIL HOLDINGS INC.,JP3816400000,Targets Set,Well-below 2°C,2030,No
FUJIFILM Holdings Corporation,JP3814000000,Targets Set,Well-below 2°C,2030,No
Fujitsu Limited,JP3818000006,Targets Set,1.5°C,2030,No
FullCycle,,Committed,,,Yes
FUNO,,Committed,,,No
"Furukawa Electric Co., Ltd.",JP3827200001,Targets Set,2°C,2030,No
Gap Inc.,US3647601083,Targets Set,1.5°C,2030,No
Gecina,FR0010040865,Targets Set,Well-below 2°C,2030,No
Geelen Counterflow,,Targets Set,1.5°C,2030,Yes
GeelongPort,,Targets Set,1.5°C,2030,No
GEKA,,Committed,,,No
General Mills Inc.,US3703341046,Targets Set,1.5°C,2030,Yes
Genesis Energy Ltd,,Targets Set,1.5°C,2025,No
Gestamp,ES0105223004,Targets Set,Well-below 2°C,2030,No
"Gilead Sciences, Inc.",,Targets Set,1.5°C,2030,No
Givaudan SA,CH0010645932,Targets Set,1.5°C,2030,Yes
GlaxoSmithKline,GB0009252882,Targets Set,1.5°C,"2025, 2030",Yes
Glovo,,Targets Set,1.5°C,2030,No
Godrej & Boyce Mfg. Co. Ltd.,,Committed,,,No
Godrej AgroveT Limited,,Committed,,,No
Godrej Consumer Products Limited,,Committed,,,No
Godrej Industries,,Committed,,,No
Godrej Properties Limited,,Committed,,,No
GOL (GOL Linhas Aéreas S.A.),BRGOLLACNPR4,Committed,,,No
Grant Thornton UK LLP,,Targets Set,1.5°C,2023,Yes
Green Element Limited,,Targets Set,1.5°C,2023,Yes
Greenstone+,,Targets Set,1.5°C,2030,No
Greif Holding GmbH & Co. KG,,Targets Set,2°C,2025,No
Grieg Seafood ASA,,Targets Set,Well-below 2°C,2030,No
Gromax Agri Equipment Limited,,Targets Set,1.5°C,2033,No
"Group Fu Plastic Co., LTD",,Committed,,,No
Groupe Public Ferroviaire (GPF) – SNCF,,Targets Set,2°C,"2030, 2024",No
GROUPE RENAULT,FR0000131906,Targets Set,Well-below 2°C,2030,No
Groupe SEB,FR0000121709,Targets Set,Well-below 2°C,"2023, 2030",No
Growthpoint Properties,ZAE000179420,Committed,,,No
Grundfos Holding A/S,,Committed,,,No
GCC S.A.B de C.V,,Committed,,,Yes
Grupo Energía Bogotá S.A. ESP,COE01PA00026,Committed,,,No
Grupo Financiero Banorte SAB de CV,MXP370711014,Committed,,,No
Grupo Malwee,,Targets Set,1.5°C,2030,No
GSL – Global Star Logistics,,Committed,,,No
"Guess?, Inc.",US4016171054,Targets Set,1.5°C,2030,No
Guidehouse,,Committed,,,No
Gujarat Fluorochemicals Ltd. (GFL),INE538A01037,Committed,,,No
H&M Hennes & Mauritz AB,,Targets Set,Well-below 2°C,2030,Yes
Hamamatsu Photonics K.K.,,Targets Set,Well-below 2°C,2031,No
Hanesbrands Inc.,,Committed,,,No
Hannon Armstrong,US41068X1000,Committed,,,Yes
Hayleys Fabric PLC,,Committed,,,Yes
HAZAMA ANDO CORPORATION,,Targets Set,Well-below 2°C,2030,No
HCL Technologies,INE860A01027,Committed,,,No
"Healthpeak Properties, Inc.",,Targets Set,Well-below 2°C,2033,No
HeidelbergCement AG,DE0006047004,Targets Set,2°C,2030,Yes
HEINEKEN N.V.,NL0000009165,Targets Set,1.5°C,2030,Yes
Henkel AG & Co. KGaA,DE0006048432,Targets Set,1.5°C,2030,Yes
Hera,IT0001250932,Targets Set,Well-below 2°C,"2030, 2023",No
Hersha Hotels & Resorts,,Committed,,,No
Hewlett Packard Enterprise Company,US42824C1099,Targets Set,1.5°C,2025,Yes
HH Global,,Committed,,,Yes
Hilton,US43300A2033,Targets Set,2°C,2030,No
"Hitachi, Ltd.",,Targets Set,1.5°C,2030,No
Hitachi Construction Machinery Co. LTD,JP3787000003,Targets Set,2°C,2030,No
HK Electric Investments (HKEI),HK0000179108,Targets Set,2°C,2022,No
HL Display AB,,Committed,,,No
HNI Corporation,US4042511000,Targets Set,1.5°C,"2025, 2035",No
"Holt, Renfrew & Co., Limited",,Targets Set,1.5°C,"2030, 2025",No
Hong Kong Broadband Network Limited,KYG451581055,Committed,,,No
"Host Hotels & Resorts, Inc.",US44107P1049,Targets Set,1.5°C,2025,No
HP Inc,US40434L1052,Targets Set,1.5°C,2025,Yes
HSBC Holdings plc,GB0005405286,Committed,,,No
HUBER+SUHNER Group,CH0030380734,Targets Set,1.5°C,2025,No
Hugo Boss AG,DE000A1PHFF7,Targets Set,1.5°C,2030,No
Huhtamäki Oyj,FI0009000459,Targets Set,Well-below 2°C,"2030, 2026",No
Hulamin,ZAE000096210,Targets Set,Well-below 2°C,2030,No
Husqvarna AB,SE0001662230,Targets Set,1.5°C,2025,Yes
Iberdrola SA,ES0144580Y14,Targets Set,1.5°C,2030,Yes
"IBERIA, Líneas Aéreas de España, S.A",,Committed,,,Yes
ICA Gruppen,SE0000652216,Targets Set,Well-below 2°C,2025,Yes
Ideal Modular Homes,,Committed,,,No
IKEA,,Targets Set,1.5°C,2030,Yes
Imerys,FR0000120859,Targets Set,2°C,"2030, 2023",No
Imperial Brands,,Targets Set,2°C,"2030, 2023",Yes
Inditex,ES0148396007,Targets Set,1.5°C,2030,Yes
Indra,,Targets Set,1.5°C,2030,Yes
Informa plc,GB00BMJ6DW54,Targets Set,1.5°C,2030,No
"Infraestruturas de Portugal, S.A.",,Committed,,,No
ING Group,NL0011821202,Committed,,,No
Ingka Group,,Targets Set,1.5°C,2030,No
innocent drinks,,Targets Set,1.5°C,2030,Yes
InterContinental Hotels Group PLC,GB00BHJYC057,Targets Set,1.5°C,2030,No
Interloop Limited,,Committed,,,No
International Consolidated Airlines Group (IAG),ES0177542018,Committed,,,Yes
International Flavors & Fragrances Inc.,US4595061015,Targets Set,Well-below 2°C,2025,No
International Post Corporation (IPC),,Targets Set,2°C,2025,No
Intrepid Travel,,Targets Set,1.5°C,2035,No
Intuit,US4612021034,Targets Set,1.5°C,"2025, 2030",No
Investa,,Targets Set,1.5°C,2030,No
Iron Mountain,US46284V1017,Targets Set,2°C,2025,No
J Sainsbury plc,,Targets Set,1.5°C,2030,Yes
"J. FRONT RETAILING Co., Ltd.",JP3386380004,Targets Set,1.5°C,2030,No
Jacobs,,Targets Set,1.5°C,"2030, 2020, 2025",Yes
Japan Tobacco Inc.,JP3726800000,Targets Set,2°C,2030,No
JD Logistics,,Targets Set,1.5°C,"2030, 2025",Yes
"JENEX CO., LTD.",,Targets Set,1.5°C,"2030, 2024",No
"Jiangsu Pacific Quartz Co., Ltd.",CNE100001VC5,Committed,,,No
JK Tyre & Industries Ltd,INE573A01042,Committed,,,No
JLL,US48020Q1076,Targets Set,1.5°C,2030,Yes
JMB Wind Engineering,,Committed,,,No
John Sisk & Son,,Committed,,,Yes
Johnson Controls International plc,IE00BY7QL619,Targets Set,1.5°C,2030,No
JSW Energy Limited,INE121E01018,Committed,,,Yes
K-9 Internacional,,Committed,,,No
KAO Corporation,JP3205800000,Targets Set,1.5°C,2030,Yes
"Kawasaki Kisen Kaisha, Ltd.",JP3223800008,Targets Set,2°C,2030,No
KAYSERİ ULAŞIM A.Ş.,,Targets Set,Well-below 2°C,2028,No
Kearney,,Targets Set,Well-below 2°C,2030,No
Kelani Valley Plantations,,Committed,,,No
Kellogg Company,US4878361082,Targets Set,Well-below 2°C,2030,No
Kennedys Law LLP,,Committed,,,No
Kering,FR0000121485,Targets Set,1.5°C,"2030, 2022",No
Kerry Group PLC,,Targets Set,1.5°C,2030,No
Kesko Corporation,FI0009000202,Targets Set,1.5°C,2030,No
Keurig Dr Pepper,US26138E1091,Targets Set,Well-below 2°C,"2030, 2024",No
Kier Highways Limited,,Committed,,,Yes
Kilroy Realty Corporation,US49427F1084,Targets Set,2°C,2030,No
Kimberly-Clark Corporation,US4943681035,Targets Set,Well-below 2°C,2030,No
Kingfisher,GB0033195214,Targets Set,1.5°C,2025,No
Kingspan Group Plc,IE0004927939,Targets Set,1.5°C,2030,No
Kirin Holdings Co Ltd,JP3258000003,Targets Set,1.5°C,2030,Yes
Kiwi Property Group,NZKIPE0001S5,Committed,,,No
Klabin S.A.,BRKLBNCDAM18,Targets Set,Well-below 2°C,"2025, 2035",Yes
Klépierre,,Targets Set,1.5°C,2030,No
Klöckner & Co,DE000KC01000,Targets Set,1.5°C,2030,Yes
Klövern AB,SE0000331225,Committed,,,No
KLP,NO0010780539,Committed,,,No
"KOBAYASHI PHARMACEUTICAL CO., LTD.",JP3301100008,Committed,,,No
"Kokusai Kogyo Co., Ltd",,Targets Set,1.5°C,"2030, 2026",No
Komatsu Ltd.,JP3304200003,Targets Set,2°C,2030,No
KONE Corporation,FI0009013403,Targets Set,1.5°C,2030,No
"Konica Minolta, Inc.",JP3300600008,Targets Set,2°C,2030,No
Koninklijke Ahold Delhaize N.V.,NL0011794037,Targets Set,1.5°C,2030,Yes
Koninklijke KPN NV (Royal KPN),NL0000009082,Targets Set,1.5°C,"2030, 2025",Yes
KOSÉ Corporation,,Targets Set,Well-below 2°C,2030,No
KPMG UK LLP,,Targets Set,1.5°C,2030,Yes
Kuehne + Nagel International AG,,Targets Set,Well-below 2°C,2030,No
KYOCERA Corporation,JP3249600002,Targets Set,2°C,2030,No
L'Oréal,FR0000120321,Targets Set,1.5°C,"2025, 2030",Yes
La Banque Postale,,Targets Set,1.5°C,2030,No
La Française des jeux (FDJ),,Targets Set,Well-below 2°C,"2025, 2024",No
La Poste SA,,Targets Set,1.5°C,2025,Yes
Holcim Ltd.,CH0012214059,Targets Set,Well-below 2°C,2025,Yes
Lagan Aviation & Infrastructure,,Committed,,,No
Landsec,GB00BYW0PQ60,Targets Set,1.5°C,2030,Yes
Lansinoh Laboratories Inc,,Targets Set,1.5°C,2030,Yes
Lars Partners,,Targets Set,1.5°C,2030,Yes
Las Vegas Sands,US5178341070,Targets Set,Well-below 2°C,"2030, 2025",No
Lassila & Tikanoja plc,FI0009010854,Targets Set,Well-below 2°C,"2023, 2024",No
LATAM Airlines Group S.A.,US51817R1068,Committed,,,No
Legacy Vacation Resorts,,Targets Set,1.5°C,2030,No
Legrand,FR0010307819,Targets Set,1.5°C,2030,Yes
Lenovo Group Limited,HK0992009065,Targets Set,1.5°C,2030,Yes
Lenzing AG,,Targets Set,2°C,2030,No
Lerøy Seafood Group ASA,,Targets Set,1.5°C,2030,No
Levi Strauss & Co.,US52736R1023,Targets Set,1.5°C,2025,No
Liberty Global,GB00B8W67662,Targets Set,1.5°C,2030,No
Lidl Belgium GmbH. & Co. KG,,Targets Set,2°C,2030,No
Lightsource bp,,Committed,,,No
Linde plc,,Committed,,,No
Lion Corporation,,Targets Set,Well-below 2°C,2030,No
LITE-ON technology corp.,TW0002301009,Targets Set,2°C,"2025, 2023",No
LIXIL Group Corporation,JP3626800001,Targets Set,2°C,2030,No
Logista,ES0105027009,Targets Set,2°C,2030,No
Logitech International,CH0025751329,Committed,,,No
Lojas Renner S.A.,,Committed,,,Yes
London Stock Exchange Group PLC,GB00B0SWJX34,Targets Set,1.5°C,"2030, 2025",No
"LONGi Green Energy Technology Co., Ltd.",,Committed,,,No
Los Angeles Department of Water and Power,,Committed,,,No
Louis Vuitton Malletier,,Targets Set,1.5°C,2030,No
lululemon,US5500211090,Targets Set,1.5°C,2030,No
Lundbeck A/S,DK0010287234,Targets Set,1.5°C,2034,Yes
LUSH Handmade Cosmetics,,Committed,,,No
"MAAL Associates, LLC",,Targets Set,1.5°C,2030,Yes
MacArthur Green,,Targets Set,1.5°C,2030,Yes
MaCher (USA) Inc.,,Targets Set,1.5°C,2030,Yes
Maeda Corporation,,Targets Set,2°C,2030,No
Maersk,,Committed,,,Yes
Magazine de Bijenkorf B.V.,,Targets Set,1.5°C,2030,No
Magyar Telekom Plc.,HU0000073507,Targets Set,1.5°C,2030,No
Mahindra & Mahindra Financial Services Limited,INE774D01024,Committed,,,No
Mahindra & Mahindra Limited,,Targets Set,Well-below 2°C,2033,Yes
Mahindra Accelo,,Targets Set,1.5°C,2033,No
Mahindra Automotive Australia Pty Ltd,,Targets Set,1.5°C,2035,No
Mahindra Automotive North America,,Targets Set,1.5°C,2034,No
MAHINDRA ELECTRIC MOBILITY LTD,,Targets Set,Well-below 2°C,2033,No
Mahindra EPC Irrigation Limited,INE215D01010,Targets Set,1.5°C,2034,No
Mahindra First Choice Services Ltd.,,Targets Set,Well-below 2°C,2032,No
Mahindra Heavy Engines Ltd,,Targets Set,1.5°C,2033,No
Mahindra Holidays and Resorts India Limited,INE998I01010,Targets Set,1.5°C,2031,No
Mahindra Lifespaces Developers Limited,INE813A01018,Targets Set,1.5°C,2033,No
Mahindra Logistics Ltd.,INE766P01016,Targets Set,1.5°C,2033,No
Mahindra Sanyo Special Steel,JP3342000001,Targets Set,2°C,2030,No
"Mahindra USA, Inc.",,Targets Set,1.5°C,2034,No
Mahindra World City (Jaipur) Ltd.,,Targets Set,1.5°C,2033,No
Mahindra World City Developers Ltd,,Targets Set,1.5°C,2031,No
Maisons du Monde,FR0013153541,Targets Set,1.5°C,2030,No
Mammut Sports Group,,Targets Set,1.5°C,2030,Yes
Manni Group SpA,,Targets Set,Well-below 2°C,2028,No
Maple Company Limited,,Committed,,,No
Maple Leaf Foods Inc.,CA5649051078,Targets Set,Well-below 2°C,2030,No
Marfrig Global Foods S.A.,,Committed,,,No
Marks & Spencer,GB0031274896,Targets Set,Well-below 2°C,"2030, 2035",Yes
Mars,,Targets Set,1.5°C,2025,Yes
Marshalls plc,GB00B012BV22,Targets Set,Well-below 2°C,"2030, 2024",Yes
"MARUI GROUP CO.,LTD.",JP3870400003,Targets Set,1.5°C,2030,No
Mastercard,US57636Q1040,Targets Set,1.5°C,2025,No
"Mattos Filho, Veiga Filho, Marrey Jr and Quiroga Advogados",,Committed,,,Yes
McCain Foods Limited,,Targets Set,1.5°C,2030,No
"McCormick & Company, Inc.",US5797802064,Targets Set,2°C,"2025, 2030",No
McDonald's Corporation,US5801351017,Targets Set,2°C,2030,Yes
"McKinsey & Company, Inc.",,Targets Set,1.5°C,2025,Yes
Media6,FR0000064404,Committed,,,No
MEIDENSHA CORPORATION,JP3919800007,Targets Set,Well-below 2°C,2031,No
Melia Hotels International SA,,Targets Set,1.5°C,"2025, 2035",No
Mercedes-Benz AG,,Targets Set,1.5°C,2030,No
MERCIALYS,FR0010241638,Targets Set,Well-below 2°C,2030,No
"MetLife, Inc.",US59156R1086,Committed,,,No
Metro AG,DE0007257503,Targets Set,Well-below 2°C,2030,No
Metsä Board Corporation,FI0009000665,Targets Set,1.5°C,"2030, 2024",No
Metso Outotec,,Targets Set,1.5°C,"2030, 2025",No
MGM Resorts International,US5529531015,Committed,,,No
MHI Vestas Offshore Wind A/S,,Committed,,,No
Michelin,FR0000121261,Targets Set,2°C,"2030, 2024",Yes
Microsoft Corporation,US5949181045,Targets Set,1.5°C,2030,Yes
Midsona AB,SE0000565210,Targets Set,Well-below 2°C,2034,No
Midwestern Group Ltd.,,Committed,,,Yes
Migros Group,,Targets Set,1.5°C,2030,Yes
Mile Hi Bakery Inc.,,Targets Set,Well-below 2°C,2030,No
Mile Hi Foods Co.,,Targets Set,2°C,2030,No
MiljöMatematik Malmö AB,,Targets Set,1.5°C,2030,Yes
Millennium & Copthorne Hotels plc.,GB0005622542,Targets Set,Well-below 2°C,2030,No
Mitsubishi Electric Corporation,,Targets Set,2°C,2030,No
"MITSUBISHI ESTATE CO., LTD.",JP3899600005,Targets Set,Well-below 2°C,2030,Yes
"Miyakoda Construction Co., Ltd",,Targets Set,1.5°C,2030,No
Model HOLDING AG,,Targets Set,Well-below 2°C,2030,No
Molson Coors Brewing Company,US60871R2094,Targets Set,1.5°C,2025,No
Moncler Group,,Targets Set,1.5°C,"2030, 2023",No
Mondelez International Inc,,Targets Set,Well-below 2°C,2025,No
Mondi plc,GB00B1CRLC47,Targets Set,2°C,2025,Yes
Moody's Corporation,US6153691059,Targets Set,1.5°C,"2030, 2025",Yes
Morfù s.r.l,,Committed,,,No
Morgan Sindall Group plc,GB0008085614,Targets Set,2°C,"2025, 2023",Yes
Mott MacDonald Group Limited,,Targets Set,1.5°C,2024,Yes
Movida,,Committed,,,Yes
Mowi,NO0003054108,Targets Set,Well-below 2°C,2030,No
MP Pension,,Committed,,,No
MS Direct AG,,Committed,,,No
"MS&AD Insurance Group Holdings, Inc.",JP3890310000,Committed,,,No
MTR Nordic Group,,Committed,,,Yes
Multiplex Construction Canada,,Targets Set,1.5°C,2035,No
Multiplex Construction Europe,,Targets Set,1.5°C,"2030, 2023",Yes
"Multiplex Constructions, Middle East",,Targets Set,1.5°C,2033,No
Muntons,,Targets Set,Well-below 2°C,2025,No
"Murata Manufacturing Co., Ltd.",JP3914400001,Targets Set,1.5°C,2030,No
MVV Energie AG,DE000A0H52F5,Targets Set,1.5°C,2030,Yes
Nabtesco Corporation,JP3651210001,Targets Set,1.5°C,"2030, 2025",No
Nahar Industrial Enterprises Limited,INE289A01011,Committed,,,No
Nando's Australia Pty Ltd,,Committed,,,No
Nando's Chicken Land Limited,,Targets Set,1.5°C,2030,No
Natura & Co,BRNATUACNOR6,Committed,,,Yes
Naturgy Energy Group SA.,ES0116870314,Committed,,,No
NEC Corporation,,Targets Set,1.5°C,2031,Yes
Nechi Group,,Committed,,,Yes
"Nemak, S.A.B. de C.V.",MX01NE000001,Targets Set,Well-below 2°C,2030,No
Neptuno Pumps,,Committed,,,Yes
Nestlé,CH0038863350,Targets Set,1.5°C,"2025, 2030",Yes
Network Rail plc,,Targets Set,1.5°C,"2029, 2025",Yes
New Belgium Brewing Company,,Committed,,,No
New York State Metropolitan Transportation Authority,,Targets Set,Well-below 2°C,2030,No
New Zealand Post,NZNZPD1114L0,Targets Set,1.5°C,2030,No
News Corp,US65249B2088,Targets Set,1.5°C,2030,Yes
Nexity SA,FR0010112524,Targets Set,Well-below 2°C,2030,No
NH Hotel Group,ES0161560018,Targets Set,2°C,2030,No
"NIKE, Inc.",US6541061031,Targets Set,1.5°C,2030,No
Nikon Corporation,JP3657400002,Targets Set,1.5°C,2030,Yes
Nilfisk A/S,DK0060907293,Targets Set,Well-below 2°C,2030,No
"Nippon Sheet Glass, Co., Ltd. (NSG Group).",JP3686800008,Targets Set,2°C,2030,No
Nippon Yusen Kabushiki Kaisha,JP3753000003,Targets Set,2°C,2030,No
"Nissin Electric Co., Ltd.",JP3677600003,Targets Set,Well-below 2°C,2031,No
"Nissin Foods Holdings Co., Ltd.",,Targets Set,Well-below 2°C,2030,No
Nobia AB,SE0000949331,Targets Set,1.5°C,"2026, 2025",No
Nokia Group,FI0009000681,Targets Set,1.5°C,2030,No
Nokian Tyres plc,FI0009005318,Targets Set,Well-below 2°C,2030,No
Nomad Foods Ltd.d,,Targets Set,1.5°C,2025,Yes
"Nomura Research Institute, Ltd.",JP3762800005,Targets Set,1.5°C,"2030, 2023",Yes
"Nordstrom, Inc.",,Committed,,,No
"NOS, SPGS, S.A.",,Targets Set,1.5°C,2030,Yes
Novartis,CH0012005267,Targets Set,1.5°C,2030,No
"Novo Banco, SA",,Committed,,,No
Novo Nordisk A/S,DK0060534915,Targets Set,1.5°C,2030,No
Novozymes A/S,,Targets Set,1.5°C,2030,Yes
"NR Instant Produce Co., Ltd",,Committed,,,Yes
NRG Energy Inc,US6293775085,Targets Set,1.5°C,2025,Yes
NTT Group,,Targets Set,1.5°C,"2030, 2031",No
NTT DATA Corporation,,Targets Set,1.5°C,2030,Yes
Nutreco,,Targets Set,Well-below 2°C,2030,No
O-I Glass,US6907684038,Targets Set,2°C,2030,No
"O.T. Sports Manufacture Co., Ltd.",,Committed,,,No
Olam,SG1Q75923504,Targets Set,Well-below 2°C,2030,No
"Olive Apparel (Cambodia) Co., Ltd.",,Targets Set,1.5°C,2024,No
On Running,,Targets Set,1.5°C,2030,No
"ONO PHARMACEUTICAL CO., LTD.",JP3197600004,Targets Set,1.5°C,2030,Yes
ORANGE,FR0000133308,Targets Set,1.5°C,2025,Yes
Orbia Advance Corporation S.A.B.,,Committed,,,No
Oriflame Cosmetics,SE0001174889,Targets Set,1.5°C,2030,No
Origin Energy,AU000000ORG5,Targets Set,2°C,2032,No
Orkla ASA,NO0003733800,Targets Set,1.5°C,,Yes
Orluna LED Technologies Limited,,Committed,,,No
Ørsted,DK0060094928,Targets Set,1.5°C,2025,Yes
Österreichische Post AG,AT0000APOST4,Targets Set,2°C,2025,No
"Otsuka Pharmaceutical Co., Ltd.",,Targets Set,2°C,2030,No
Outokumpu Oyj,FI0009002422,Targets Set,1.5°C,2023,No
OVO Energy,,Committed,,,Yes
Owens Corning,US6907421019,Targets Set,1.5°C,2030,No
Panasonic Corporation,JP3866800000,Targets Set,2°C,2030,No
Pandora A/S,DK0060252690,Targets Set,1.5°C,2030,Yes
Pattern S.P.A.,,Targets Set,1.5°C,2030,No
Paulig Group,,Targets Set,1.5°C,2030,No
PayPal,US70450Y1038,Targets Set,1.5°C,2025,No
Peak Design,,Targets Set,1.5°C,2030,No
Pearson PLC,,Targets Set,1.5°C,2030,Yes
PensionDanmark,,Committed,,,Yes
"PepsiCo, Inc.",US7134481081,Targets Set,1.5°C,2030,Yes
Pernod Ricard,FR0000120693,Targets Set,Well-below 2°C,"2030, 2025",Yes
Pfizer Inc.,US7170811035,Targets Set,1.5°C,"2030, 2025",No
"Phihong Technology Co., Ltd.",TW0002457009,Committed,,,No
Philip Morris International,US7181721090,Targets Set,1.5°C,2030,Yes
Pine Tree Company For Textile Manufacturing PSC,,Targets Set,1.5°C,2024,No
Pinsent Masons LLP,,Targets Set,1.5°C,2030,Yes
Piraeus Bank SA,GRS014003024,Committed,,,No
Pirelli & C. S.p.A,,Targets Set,Well-below 2°C,2025,No
PNZ-Produkte GmbH,,Targets Set,1.5°C,2030,Yes
Polygenta Technologies Limited,INE441D01020,Targets Set,1.5°C,2030,No
Port of Rotterdam Authority,,Committed,,,No
Ports of Auckland Limited,NZPOAE0001S4,Targets Set,Well-below 2°C,"2032, 2030, 2025",No
Posti Group Ltd.,,Targets Set,1.5°C,2030,Yes
PostNL,NL0009739416,Targets Set,1.5°C,"2030, 2025",No
PostNord AB,,Targets Set,Well-below 2°C,2020,No
"Principal Financial Group, Inc.",US74251V1026,Committed,,,No
Procter & Gamble Company,US7427181091,Targets Set,Well-below 2°C,2030,Yes
Prologis,US74340W1036,Targets Set,2°C,2025,No
Proximus,BE0003810273,Targets Set,Well-below 2°C,2025,Yes
PSA Automobiles SA,FR0000121501,Targets Set,2°C,2034,No
PT Ecogreen Oleochemicals,,Committed,,,No
Publicis Groupe,FR0000130577,Targets Set,1.5°C,2030,No
Puig S.L.,,Targets Set,1.5°C,2030,No
Pukka Herbs,,Targets Set,1.5°C,2030,No
PUMA SE,DE0006969603,Targets Set,Well-below 2°C,2030,No
PVH Corp.,US6936561009,Targets Set,1.5°C,2030,Yes
"Pyxus International, Inc.",,Committed,,,No
Qalaa Holdings,,Committed,,,No
Qinetiq,GB00B0WMWD03,Committed,,,No
Radio Flyer Inc.,,Targets Set,Well-below 2°C,2030,No
Raiffeisen Bank International AG,AT0000606306,Committed,,,No
Ralph Lauren Corporation,,Targets Set,1.5°C,"2030, 2025",Yes
Ramatex,,Targets Set,1.5°C,2025,No
RATP,,Committed,,,No
ReAcción / Alva,,Committed,,,No
Reckitt Benckiser Group plc,GB00B24CGK77,Targets Set,1.5°C,2030,No
Red Electrica de España,ES0173093115,Targets Set,2°C,2030,No
Refinitiv,,Targets Set,1.5°C,"2030, 2025",No
Reliance Chemical Products Ltd.,,Committed,,,No
Reliance Jio Infocomm Limited,INE110L08045,Committed,,,No
REMATEC Holdings Corporation,,Targets Set,Well-below 2°C,2030,No
REN – Redes Energéticas Nacionais,PTREL0AM0008,Committed,,,No
Republic Services,US7607591002,Targets Set,Well-below 2°C,2030,No
